Pmid,Age,Sex,Condition,Samplesize,Eligibility,Unnamed: 6
38102530,['18 years or older'],['female'],['unilateral breast cancer-related lymphedema'],20 patients,"['female, 18 years or older, unilateral BCRL, informed consent, comply with study requirements, receive text messages, no use of PCD in previous 3 months, not undergone phase 1 CDT within 1 month nor planning during study period, not currently undergoing curative cancer therapy, able to be fitted for PCD garments, no heart failure, acute venous disease, active skin or limb infection or inflammatory disease, pregnancy or planning to become pregnant, condition where increased lymphatic or venous return is undesirable, known ability to receive cell phone connection', 'The eligibility criteria for the population under study is not explicitly mentioned in the given chunk. However, it states that enrollment of up to 30 participants was planned to achieve 60-day follow-up data on at least 20 participants. Therefore, the sample size for this feasibility study was set at 10 analyzable data sets for each group.', 'all enrolled participants']",
38102496,"['63 years (range, 41-80 years)']",['female'],['HNC (head and neck cancer) survivors'],44 patients,['clinically significant BID (brain injury disorder)'],
38099859,['62.1 years (SD 11.1)'],['female'],['cirrhosis or advanced fibrosis'],600 patients,"['Eligible patients: liver cirrhosis or advanced fibrosis, randomized into 3 arms (1) Usual care, (2) Letter + Order, or (3) Letter + Order + Incentive.', '18 years or older with a current diagnosis of cirrhosis or advanced fibrosis, followed by gastroenterology or hepatology, lived in Philadelphia Metropolitan Statistical Area, not excluded due to liver cancer surveillance, scheduled imaging test, different imaging modality recommended, history of HCC, other liver cancer diagnosis, liver transplant, metastatic cancer, or hospice care.', 'Eligible patients included those with cirrhosis or advanced fibrosis, not opted out by their provider, randomized in a 1:2:2 allocation ratio using a computer-generated randomization algorithm stratified by batch.', '600 eligible patients', '135']",
38098261,['≥18 years'],['Japanese'],['non-small-cell lung cancer (NSCLC)'],68 patients,"['18 years of age or older, treatment‐naïve, resectable stage IB (≥4 cm) to IIIA NSCLC, ECOG PS of 0 or 1, no known sensitizing EGFR mutations or ALK translocations.', 'Patients were stratified by disease stage (IB–II or IIIA), tumor PD‐L1 expression (<1%/not evaluable/indeterminate or ≥1%), and sex (male or female). The enrollment of patients with nonevaluable or indeterminate PD‐L1 status to the tumor PD‐L1 <1% subgroup was limited to 10% of patients within this group.', 'The eligibility of the population under study is Japanese patients.']",
38097783,,['female'],['Pancreatic cancer'],155 patients,"['178 PCa samples and 4 normal pancreas samples from TCGA database, 167 normal pancreatic samples from GTEx database, 134 PCa samples with survival data from GEO database, and 63 PCa cases as external validation dataset from GSE57495.']",
38091040,['adult survivors'],['male'],"['childhood cancer', 'heart failure']",700 patients,['25 700 five-year survivors of childhood cancer diagnosed before age 21 years between 1970 and 1999.'],
38087245,['40-86 years'],['female'],"['hypertension', 'breast cancer']",120 patients,['40-86 years'],
38087207,['≥18 years'],['male'],['Locally advanced rectal cancer (LARC)'],103 patients,"['The eligibility criteria for the population under study include histologically confirmed rectal adenocarcinoma, stage cT3-4N0M0 or cTxN + M0 (AJCC 8th) confirmed by MRI, standard concurrent neoadjuvant chemoradiotherapy followed by TME, available KRAS mutation status, available MRI images before neoadjuvant therapy with sufficient image quality, age ≥ 18 years, and ECOG score < 2. A total of 103 LARC patients met these criteria and were randomly divided into training and testing cohorts at a 7:3 ratio, which was 73 and 30 patients, respectively.']",
38087139,['18-85 years'],['male'],['right colon cancer'],['258 patients'],['18-85 years'],
38070928,['postmenopausal'],['female'],"['hormone-dependent breast cancer', 'Aromatase inhibitor-induced joint pain']",70 patients,"['The eligibility criteria for the population under study include being followed for breast cancer and reporting arthralgia during treatment with aromatase inhibitors (AIs). Patients must also provide written informed consent after verification of inclusion and exclusion criteria.', 'The eligibility criteria for the population under study include postmenopausal patients with histologically proven breast cancer, treated with adjuvant aromatase inhibitors (AIs) for at least 6 months, experiencing arthralgia affecting one or more joints that appeared or worsened after AI initiation. Patients must have a Brief Pain Inventory-Short Form score ≥3 for the worst pain experienced in the past week and stable analgesic treatment for at least 15 days. Exclusion criteria include current infection, inflammatory, neurological, or metabolic arthropathy; fracture or surgery of painful extremity within the last 6 months; concomitant use of corticosteroids; cryotherapy treatment within 6 months before study inclusion; cardiovascular disease (uncontrolled hypertension, coronary artery disease, history of myocardial infarction, heart rhythm disorder, valvular heart disease, pacemaker, venous thromboembolic event, arterial disease stages 3–4); hypothyroidism; severe Raynaud’s syndrome; cryoglobulinaemia; chronic respiratory insufficiency; polyneuropathy; acute renal or urinary pathology; epilepsy; alcohol and/or drug abuse; impaired wound healing; known allergy to cold; claustrophobia; hyperhidrosis, and participation in another interventional clinical trial.', 'The eligibility criteria for the population under study include all randomized patients, with the intention-to-treat sample including those who attended at least one cryotherapy session. The per-protocol sample excludes patients with major protocol deviations, such as undergoing more than 7 sessions within 21 days of the first session. Additionally, a per-protocol analysis will be performed for patients with a minimal number of sessions during which they did not reach the effective temperature (≤12°C).']",
38065853,['18-85 years'],['female'],['liver cancer'],168 participants (88 in the intervention group and 80 in the control group) '],['postoperative'],
38062421,['18-80 years'],['male'],['rectosigmoid cancer'],99 patients,[['clinical stage T1-4aN0-2M0']],
38060453,['79(6.5) years'],['male and female'],"['Colorectal cancer', 'cancer']",48 patients,"['40 patients', 'The eligibility criteria include patients with colorectal cancer and low functional capacity, assessed by the treating surgeon as WHO performance status I (ambulatory, but restricted in physically strenuous activities) or II (ambulatory, but unable to carry out any work activities, sedentary less than 50% of waking hours). Excluded are those who cannot understand Danish, have chronic renal failure with creatinine ≥250 μmol/l, cannot perform baseline tests or training on a stationary exercise bike, have severe cognitive impairment (Mini-Mental State Examination ≤11), planned for abdominal perineal resection, subacute surgery, neoadjuvant therapy, metachronous cancer, or withdrawal of consent.', '40']",
38056900,['adult'],['female'],"['early-stage luminal B breast cancer', 'breast cancer', 'high-risk breast cancer', 'tumor']",6 patients,"['adult female patients with newly diagnosed early-stage ER+/HER2− breast cancer (BC), previously untreated, nonmetastatic disease (T2-3N0 or T1b-3N1-3), primary tumor size ≥1.5 cm on MRI, Ki67≥15% or histological grade 3, high-risk MammaPrint status, ECOG performance-status score of 0 or 1, and adequate organ function', 'Six patients from Jules Bordet Institute, Brussels, Belgium.', 'The eligibility criteria for the population under study include: undergoing SBRT, not more than one out of six patients experiencing an immune-related or RT-related AE of special interest, surgery within a maximum of 7 weeks after the last treatment, receiving at least 75% of the planned dose of paclitaxel and dose-dense AC.']",
